"species","dd long","dd lat","sex"
"Prionace glauca",17.4604,41.3739833333333,"M"
"Prionace glauca",17.8841166666667,41.0734,"M"
"Prionace glauca",18.5163333333333,40.6496666666667,"M"
"Prionace glauca",18.4853333333333,40.6698333333333,"M"
"Prionace glauca",17.2091666666667,41.2865,"M"
"Prionace glauca",17.275,41.2573333333333,"M"
"Prionace glauca",17.6343333333333,41.1088333333333,"M"
"Prionace glauca",17.7755,41.0293333333333,"M"
"Prionace glauca",15.7970333333333,42.3729333333333,"M"
"Prionace glauca",15.9798333333333,42.2438666666667,"M"
"Prionace glauca",15.6048166666667,42.4884833333333,"M"
"Prionace glauca",16.6825,41.76155,"M"
"Prionace glauca",16.43725,42.2055,"M"
"Prionace glauca",18.08745,40.7791,"M"
"Prionace glauca",18.0238166666667,40.81925,"M"
"Prionace glauca",18.02185,40.8205166666667,"M"
"Prionace glauca",18.00495,40.8138833333333,"M"
"Prionace glauca",17.98385,40.8858833333333,"M"
"Prionace glauca",18.042,41.1415333333333,"M"
"Prionace glauca",15.1042166666667,42.54885,"M"
"Prionace glauca",15.31415,42.4012166666667,"M"
"Prionace glauca",15.33565,42.3837666666667,"M"
"Prionace glauca",15.6850333333333,42.20445,"M"
"Prionace glauca",16.1059333333333,42.0837166666667,"M"
"Prionace glauca",16.2654,42.0236166666667,"M"
"Prionace glauca",17.5,41.55,"M"
"Prionace glauca",17.5,41.55,"M"
"Prionace glauca",17.6,41.6,"M"
"Prionace glauca",17.625,41.6,"M"
"Prionace glauca",17.625,41.6,"M"
"Prionace glauca",17.65,41.6,"M"
"Prionace glauca",17.65,41.6,"M"
"Prionace glauca",17.7,41.6,"M"
"Prionace glauca",17.725,41.6,"M"
"Prionace glauca",17.725,41.6,"M"
"Prionace glauca",17.725,41.6,"M"
"Prionace glauca",17.775,41.6,"M"
"Prionace glauca",17.775,41.6,"M"
"Prionace glauca",17.85,41.625,"M"
"Prionace glauca",17.9,41.65,"M"
"Prionace glauca",17.9,41.65,"M"
"Prionace glauca",17.9,41.65,"M"
"Prionace glauca",17.9,41.65,"M"
"Prionace glauca",17.925,41.65,"M"
"Prionace glauca",17.95,41.65,"M"
"Prionace glauca",18,41.675,"M"
"Prionace glauca",18.075,41.7,"M"
"Prionace glauca",18.1,41.775,"M"
"Prionace glauca",18.15,41.825,"M"
"Prionace glauca",18.175,41.875,"M"
