"dd.long","dd.lat"
"242",15.6860333333333,42.6623666666667
"243",17.1674833333333,41.7153166666667
"244",17.2164166666667,41.6454166666667
"245",17.3221166666667,41.4800333333333
"246",17.3379833333333,41.4562333333333
"247",17.3549833333333,41.4321833333333
"248",17.3943,41.2772833333333
"249",17.5270833333333,41.2386666666667
"250",17.26635,41.2811166666667
"251",17.2922666666667,41.2481333333333
"252",17.3536166666667,41.1965833333333
"253",17.3841666666667,41.1656333333333
"254",17.4607166666667,41.1370833333333
"255",17.4946,41.1014666666667
"256",17.5747833333333,41.0590166666667
"257",17.11,41.8926666666667
"258",17.104,41.8541666666667
"259",17.1225,41.802
"260",17.155,41.755
"261",17.2102666666667,41.6875166666667
"262",17.279,41.6236666666667
"263",17.3678333333333,41.5141666666667
"264",17.4347166666667,41.4297333333333
"265",17.4817333333333,41.3585666666667
"266",17.2484166666667,41.9206833333333
"267",17.2555833333333,41.8970833333333
"268",17.28625,41.8428833333333
"269",17.3828333333333,41.6345833333333
"270",17.4439666666667,41.56655
"271",17.5637333333333,41.2966833333333
"272",17.5791333333333,41.2732833333333
"273",17.3993833333333,41.4129
"274",17.4574666666667,41.4925166666667
"275",17.4782166666667,41.4184166666667
"276",15.4376333333333,42.6040166666667
"277",15.5533333333333,42.6813333333333
"278",15.6690166666667,42.5287166666667
"279",15.7319833333333,42.49835
"280",15.4795333333333,42.2499833333333
"281",15.53,42.256
"282",15.6225,42.2428
"283",16.7705666666667,41.7183
"284",16.50125,41.9448333333333
"285",16.4470666666667,41.9802
"286",16.40825,42.0130333333333
"287",17.0154,42.39545
"288",16.8131166666667,42.3134333333333
"289",16.6269833333333,42.1234666666667
"290",16.6295666666667,42.0662666666667
"291",16.6370666666667,42.0372333333333
"292",16.7278333333333,41.5772333333333
"293",18.0693333333333,41.1133666666667
"294",17.4604,41.3739833333333
"295",17.8841166666667,41.0734
"296",18.5163333333333,40.6496666666667
"297",18.4853333333333,40.6698333333333
"298",17.2091666666667,41.2865
"299",17.275,41.2573333333333
"300",17.6343333333333,41.1088333333333
"301",17.7755,41.0293333333333
"302",15.7334333333333,42.41805
"303",15.7970333333333,42.3729333333333
"304",15.8853666666667,42.31285
"305",15.9117,42.2950333333333
"306",15.9798333333333,42.2438666666667
"307",15.7810666666667,42.38515
"308",15.6048166666667,42.4884833333333
"309",15.7327666666667,42.5248666666667
"310",15.9236,42.2474666666667
"311",16.6825,41.76155
"312",15.9809166666667,42.13995
"313",16.282,42.04735
"314",16.5158833333333,42.21295
"315",16.43725,42.2055
"316",16.4375833333333,42.2055
"317",15.9688333333333,42.3266666666667
"318",16.3555166666667,42.0993166666667
"319",18.08745,40.7791
"320",18.0238166666667,40.81925
"321",17.6937666666667,40.93655
"322",17.5909166666667,40.99655
"323",18.00495,40.8138833333333
"324",17.8847666666667,40.8665833333333
"325",17.75075,40.8972666666667
"326",16.8416833333333,42.1548
"327",16.8641166666667,42.0099833333333
"328",16.9574666666667,41.7845833333333
"329",18.08295,40.86285
"330",17.98385,40.8858833333333
"331",18.0806166666667,41.1345833333333
"332",18.042,41.1415333333333
"333",17.8681666666667,41.1995833333333
"334",18.2261166666667,40.9990166666667
"335",15.1042166666667,42.54885
"336",15.2772833333333,42.3798333333333
"337",15.2556833333333,42.4648333333333
"338",15.31415,42.4012166666667
"339",15.40355,42.2447333333333
"340",15.0779833333333,42.36345
"341",15.2217833333333,42.3477833333333
"342",15.68075,42.1961333333333
"343",16.0773666666667,42.0928166666667
"344",16.2456666666667,42.0253666666667
"345",17.4374166666667,41.5186833333333
"346",16.6223166666667,41.9507166666667
"347",16.5403166666667,42.13805
"348",16.4747166666667,42.0707166666667
"349",17.5,41.55
"350",17.6,41.6
"351",17.625,41.6
"352",17.65,41.6
"353",17.7,41.6
"354",17.775,41.6
"355",17.85,41.625
"356",17.9,41.65
"357",17.95,41.65
"358",18,41.675
"359",18.075,41.7
"360",18.1,41.775
"361",18.15,41.825
"362",18.175,41.875
"363",18.3,41.875
"364",18.25,41.9
"365",18.175,42
"366",18.15,42.075
"367",18.3,41.95
"368",18.325,41.925
"369",18.325,42.025
"370",18.375,42.075
"371",18.4,42.05
"372",18.475,42.05
"373",18.5,42.05
"374",18.35,42.05
"375",18.3,42.025
"376",18.275,42.05
"377",18.275,41.975
"378",18.125,41.95
"379",18.05,41.875
"380",17.95,41.85
"381",17.85,41.825
"382",17.8,41.8
"383",17.75,41.725
"384",17.725,41.725
"385",17.7,41.7
"386",17.675,41.675
"387",17.65,41.65
"388",17.625,41.65
"389",17.7,41.65
"390",17.775,41.675
"391",17.75,41.775
"392",17.7,41.825
"393",17.675,41.85
"394",17.625,41.825
"395",17.575,41.825
"396",17.65,41.8
"397",17.675,41.75
"398",17.775,41.65
"399",17.875,41.625
"400",17.95,41.6
"401",18,41.6
"402",18.05,41.6
"403",18.1,41.575
"404",18.125,41.575
"405",18.15,41.575
"406",18.175,41.425
"407",18.175,41.375
"408",18.2,41.35
"409",18.2,41.3
"410",18.275,41.2
"411",18.3,41.15
"412",18.3,41.1
"413",18.325,41.025
"414",18.35,40.95
"415",18.4,40.875
"416",18.475,40.8
"417",18.55,40.725
"418",18.6,40.7
"419",18.65,40.625
"420",18.825,40.6
"421",18.85,40.575
"422",18.85,40.525
"423",18.85,40.375
"424",18.875,40.25
"425",18.85,40.2
"426",18.825,40.125
"427",18.7,39.925
"428",18.675,39.875
"429",18.65,39.825
"430",18.625,39.825
"431",18.625,39.85
"432",18.425,39.625
