"species","dd long","dd lat","maturity"
"Prionace glauca",0.938,38.46309,"Adult"
"Prionace glauca",0.875,38.54991,"Adult"
"Prionace glauca",0.845,38.62436,"Adult"
"Prionace glauca",0.249,37.8169,"Adult"
"Prionace glauca",0.57,37.73344,"Adult"
"Prionace glauca",0.436,38.18809,"Adult"
"Prionace glauca",0.251,38.13654,"Adult"
"Prionace glauca",0.68,38.08373,"Adult"
"Prionace glauca",0.665,37.97034,"Adult"
"Prionace glauca",0.239,38.58331,"Adult"
"Prionace glauca",7.138,41.562,"Adult"
"Prionace glauca",0.503055555555556,37.3302777777778,"Adult"
"Prionace glauca",7.30138888888889,42.8188888888889,"Adult"
"Prionace glauca",9.55111111111111,42.6988888888889,"Adult"
"Prionace glauca",3.81026519861831,43.2281962867012,"Adult"
"Prionace glauca",3.81833752181498,42.7796423211167,"Adult"
"Prionace glauca",3.495946,42.59238,"Adult"
"Prionace glauca",3.495946,42.59238,"Adult"
"Prionace glauca",3.495946,42.59238,"Adult"
"Prionace glauca",3.495946,42.59238,"Adult"
"Prionace glauca",6.018121,42.82523,"Adult"
"Prionace glauca",6.018121,42.82523,"Adult"
"Prionace glauca",6.018121,42.82523,"Adult"
"Prionace glauca",3.500338,42.609767,"Adult"
"Prionace glauca",3.500338,42.609767,"Adult"
"Prionace glauca",3.853438,42.881925,"Adult"
"Prionace glauca",6.152617,42.87177,"Adult"
"Prionace glauca",18.7320833333333,40.9472666666667,"Adult"
"Prionace glauca",18.60585,41.4571,"Adult"
"Prionace glauca",18.6667333333333,41.2081333333333,"Adult"
"Prionace glauca",18.64695,41.2356833333333,"Adult"
"Prionace glauca",17.60925,41.4401,"Adult"
"Prionace glauca",17.6169833333333,41.4387166666667,"Adult"
"Prionace glauca",17.9701166666667,41.3196,"Adult"
"Prionace glauca",16.7148333333333,42.0858333333333,"Adult"
"Prionace glauca",16.79665,42.2460833333333,"Adult"
"Prionace glauca",17.31275,41.3664,"Adult"
"Prionace glauca",15.3029,42.7617333333333,"Adult"
"Prionace glauca",15.6860333333333,42.6623666666667,"Adult"
"Prionace glauca",17.1674833333333,41.7153166666667,"Adult"
"Prionace glauca",17.2164166666667,41.6454166666667,"Adult"
"Prionace glauca",17.3221166666667,41.4800333333333,"Adult"
"Prionace glauca",17.3379833333333,41.4562333333333,"Adult"
"Prionace glauca",17.3549833333333,41.4321833333333,"Adult"
"Prionace glauca",17.3841666666667,41.1656333333333,"Adult"
"Prionace glauca",17.3833666666667,41.1542666666667,"Adult"
"Prionace glauca",17.104,41.8541666666667,"Adult"
"Prionace glauca",17.1225,41.802,"Adult"
"Prionace glauca",17.155,41.755,"Adult"
"Prionace glauca",17.279,41.6236666666667,"Adult"
"Prionace glauca",17.4347166666667,41.4297333333333,"Adult"
"Prionace glauca",17.4817333333333,41.3585666666667,"Adult"
"Prionace glauca",17.2547,41.8826666666667,"Adult"
"Prionace glauca",17.28625,41.8428833333333,"Adult"
"Prionace glauca",17.3828333333333,41.6345833333333,"Adult"
"Prionace glauca",17.5637333333333,41.2966833333333,"Adult"
"Prionace glauca",17.3993833333333,41.4129,"Adult"
"Prionace glauca",17.4574666666667,41.4925166666667,"Adult"
"Prionace glauca",17.4782166666667,41.4184166666667,"Adult"
"Prionace glauca",15.4376333333333,42.6040166666667,"Adult"
"Prionace glauca",15.5533333333333,42.6813333333333,"Adult"
"Prionace glauca",15.6690166666667,42.5287166666667,"Adult"
"Prionace glauca",15.7319833333333,42.49835,"Adult"
"Prionace glauca",16.4470666666667,41.9802,"Adult"
"Prionace glauca",17.0154,42.39545,"Adult"
"Prionace glauca",16.6269833333333,42.1234666666667,"Adult"
"Prionace glauca",16.6331,42.0551166666667,"Adult"
"Prionace glauca",16.6370666666667,42.0372333333333,"Adult"
"Prionace glauca",18.0693333333333,41.1133666666667,"Adult"
"Prionace glauca",17.4604,41.3739833333333,"Adult"
"Prionace glauca",17.275,41.2573333333333,"Adult"
"Prionace glauca",15.7970333333333,42.3729333333333,"Adult"
"Prionace glauca",15.8853666666667,42.31285,"Adult"
"Prionace glauca",15.9798333333333,42.2438666666667,"Adult"
"Prionace glauca",15.6048166666667,42.4884833333333,"Adult"
"Prionace glauca",16.6825,41.76155,"Adult"
"Prionace glauca",18.08745,40.7791,"Adult"
"Prionace glauca",18.0238166666667,40.81925,"Adult"
"Prionace glauca",18.02185,40.8205166666667,"Adult"
"Prionace glauca",16.9574666666667,41.7845833333333,"Adult"
"Prionace glauca",18.0806166666667,41.1345833333333,"Adult"
"Prionace glauca",18.042,41.1415333333333,"Adult"
"Prionace glauca",17.8681666666667,41.1995833333333,"Adult"
"Prionace glauca",15.1042166666667,42.54885,"Adult"
"Prionace glauca",15.33565,42.3837666666667,"Adult"
"Prionace glauca",15.2217833333333,42.3477833333333,"Adult"
"Prionace glauca",15.68075,42.1961333333333,"Adult"
"Prionace glauca",16.0773666666667,42.0928166666667,"Adult"
"Prionace glauca",17.4374166666667,41.5186833333333,"Adult"
"Prionace glauca",16.6223166666667,41.9507166666667,"Adult"
"Prionace glauca",17.5,41.55,"Adult"
"Prionace glauca",17.5,41.55,"Adult"
"Prionace glauca",17.6,41.6,"Adult"
"Prionace glauca",17.625,41.6,"Adult"
"Prionace glauca",17.625,41.6,"Adult"
"Prionace glauca",17.65,41.6,"Adult"
"Prionace glauca",17.65,41.6,"Adult"
"Prionace glauca",17.7,41.6,"Adult"
"Prionace glauca",17.725,41.6,"Adult"
"Prionace glauca",17.725,41.6,"Adult"
"Prionace glauca",17.725,41.6,"Adult"
"Prionace glauca",17.775,41.6,"Adult"
"Prionace glauca",17.775,41.6,"Adult"
"Prionace glauca",17.85,41.625,"Adult"
"Prionace glauca",17.9,41.65,"Adult"
"Prionace glauca",17.9,41.65,"Adult"
"Prionace glauca",17.9,41.65,"Adult"
"Prionace glauca",17.9,41.65,"Adult"
"Prionace glauca",17.925,41.65,"Adult"
"Prionace glauca",17.95,41.65,"Adult"
"Prionace glauca",18,41.675,"Adult"
"Prionace glauca",18.075,41.7,"Adult"
"Prionace glauca",18.1,41.775,"Adult"
"Prionace glauca",18.15,41.825,"Adult"
"Prionace glauca",18.175,41.875,"Adult"
"Prionace glauca",18.3,41.875,"Adult"
"Prionace glauca",18.3,41.875,"Adult"
"Prionace glauca",18.3,41.875,"Adult"
"Prionace glauca",18.3,41.875,"Adult"
"Prionace glauca",18.3,41.875,"Adult"
"Prionace glauca",18.275,41.875,"Adult"
"Prionace glauca",18.275,41.875,"Adult"
"Prionace glauca",18.25,41.9,"Adult"
"Prionace glauca",18.25,41.875,"Adult"
"Prionace glauca",18.25,41.875,"Adult"
"Prionace glauca",18.25,41.875,"Adult"
"Prionace glauca",18.25,41.875,"Adult"
"Prionace glauca",18.25,41.9,"Adult"
"Prionace glauca",18.175,42,"Adult"
"Prionace glauca",18.15,42.075,"Adult"
"Prionace glauca",18.15,42.075,"Adult"
"Prionace glauca",18.15,42.075,"Adult"
"Prionace glauca",18.3,41.95,"Adult"
"Prionace glauca",18.325,41.925,"Adult"
"Prionace glauca",18.325,41.95,"Adult"
"Prionace glauca",18.325,42.025,"Adult"
"Prionace glauca",18.375,42.075,"Adult"
"Prionace glauca",18.4,42.05,"Adult"
"Prionace glauca",18.4,42.05,"Adult"
"Prionace glauca",18.4,42.05,"Adult"
"Prionace glauca",18.4,42.05,"Adult"
"Prionace glauca",18.4,42.05,"Adult"
"Prionace glauca",18.425,42.05,"Adult"
"Prionace glauca",18.475,42.05,"Adult"
"Prionace glauca",18.5,42.05,"Adult"
"Prionace glauca",18.5,42.05,"Adult"
"Prionace glauca",18.45,42.05,"Adult"
"Prionace glauca",18.45,42.05,"Adult"
